,title,link
0,북 선원 2명만 귀순 이유 못밝혀… 경계 실패 책임 회피 규명도 못해,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214270
1,홀로그램으로 돌아온 불멸의 스타들 ‘잠들지 못하는 고통’,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215074
2,‘강대강’ 치닫는 한·일… 해결 돌파구는 정상회담?,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215067
3,아베 “약속 안 지키는 국가 우대 못해”… 사실상 보복 인정,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214253
4,"국회 정상화는 아직 먼데… 한국당, 상임위원장 ‘자리싸움’",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213286
5,전국 2만2000여명 참여… 2802개 학교 급식 중단,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214281
6,"트럼프, 북·미회담 직후 문대통령에 ‘귓속말 밀담’ 나눴다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213278
7,자유 찾아 왔는데… “북한서 왔으면 숨죽이고 살아 XX야”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215474
8,[단독] 이세민 “김학의 수사 외압 진술했지만 검찰 재수사 때 묵살”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213280
9,정개·사개특위 어느 위원장직 맡을까 고심 깊은 민주당,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213309
10,"경찰 고위직 ‘인사 물갈이’, 영남 출신 약진, 치안정감 6명 중 3명",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213204
11,윤석열 “양정철 2번 만나… 총선출마 제안 거절”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215967
12,"민간 아파트 분양가 상한제, 이르면 이달 중 확대 적용",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215975
13,아파트 거래 최고가 경신 면적 비중 급감,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215992
14,[겨자씨] 인생을 만들어 가는 일상,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215048
15,"밖에선 내놔라, 안에선 지켜라… 윤의 ‘수사권 딜레마’",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215488
16,혹시나 했던 목선귀순 조사… 역시나 ‘셀프조사’ 한계,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214280
17,주 36시간 미만 임시·단기근로 일자리 2년 새 100만개 증가,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214735
18,문 대통령 “임기내 건강보험 보장률 70%까지 높일 것”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213773
19,처가·윤우진으로 벼르는 야… 황교안으로 반격하려는 여,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215487
20,북 외무성 협상라인 복귀는 ‘비정상의 정상화’,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213307
21,"민주당, 신인에 최대 가산점 20% 공천 룰 확정, 총선 체제 돌입",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213194
22,"핵심 부품 국산화, 추경에 적극 반영",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215482
23,"미, 유엔 회원국에 ‘북 노동자 송환’ 촉구… 북 “제재·압박 선동”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214756
24,청 “일본 수출규제는 정치적 보복”→26분 만에 “보복적 성격”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214676
25,오늘의 QT (2019.7.6),https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215047
26,개각 임박·공천 룰 확정… 여권 ‘총선 담론’ 불붙었다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215462
27,[국민만평-서민호 화백] 2019년 7월 8일,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215368
28,민주당 “백태클 너무 심하다” 한국당 “반일감정 정치적 활용”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001216003
29,"정부 “일 경제보복, 예상했던 수위”… 만만찮은 후폭풍",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214246
30,미국서 ‘24시간 기도의 집’ 본 순간 충격에 질투심까지…,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215039
31,MRI·CT 결과 없어도 치매보험금 받을 수 있다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213503
32,‘남한판 황장엽’ 최덕신의 차남도 월북… “영구 거주 위해 평양왔다”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215475
33,베일 속 북 통전부장 장금철 나타났다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213288
34,노·정 정규직화 시각차 급식파업으로 터졌다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214258
35,워싱턴 ‘북핵 동결론’ 솔솔… 비핵화 골문 넓히나,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213759
36,아베 ‘한국 때리기’ 선거 앞둔 국내 정치용 카드,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213296
37,문 대통령 만난 손정의  “첫째도 둘째도 인공지능”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214751
38,"청와대, 일 보복에 의도적 침묵?… 야권 “수수방관” 비판",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213753
39,서울 자사고 13곳 9일 운명의 날… 하나고 탈락하나,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215492
40,"日, 반도체 급소 공격… 약한 고리 노렸다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213297
41,불붙은 한·일 무역전쟁… ‘일제 불매운동’ 기름 끼얹는다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214285
42,‘광폭 행보’ 양정철·‘정중동’ 김세연… 여야 싱크탱크 수장 첫 대면,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213765
43,"트럼프의 쇼맨십 리더십, 세기의 이벤트를 연출했다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001212769
44,"강남 재건축, 마·용·성, 양천… 서울 아파트 34주 만에 반등",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214731
45,"북 김여정, 김정은과 함께 주석단 앞줄에… 서열 10위 내 격상 추정",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215926
46,경찰 “현장 고충 알아달라”… ‘대림동 여경사건’ 손배소,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215886
47,다가온 ‘내연기관의 종말’… 불가피한 인력 감축엔 ‘눈물’,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215077
48,노동 전문가 “정규직화는 약속… 정부가 나서 풀어야”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214766
49,위기의 반도체… 삼성전자 영업이익 6조대 그쳐,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215073
50,[국민만평-서민호 화백] 2019년 7월 1일,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001212655
51,"보수대통합 시동 거는 한국당… 황교안, 원로들과 잇따라 회동",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213758
52,"일, 자율·전기차도 겨냥 우려…  업계 “대체재 가능” 내심 긴장",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001213730
53,[미래의학포럼] 바이오헬스산업 혁신 방향 이대로 좋은가… 차세대 이끌 바이오헬스의 미래 점검,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215907
54,세 살 때부터 과학적 재능 “여호와께서 예비하셨죠”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215049
55,두 정상 경호문제 고려 남측 ‘자유의 집’서 회동,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001212761
56,"미, 북한 요구한 동시·단계적 원칙 일부 수용 기류",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001214255
57,NHK “한국 개선 없으면 공작기계·탄소섬유로 수출규제 확대”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=005&aid=0001215973
