,title,link
0,추가 규제 나오나…서울 아파트값 34주만에 상승,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243563
1,"산은, 수소·5G 스마트팩토리 투자…""제조업 르네상스 지원",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243559
2,홍콩 시위두고 中·英 '말의 전쟁'…외교 갈등 치닫나,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243726
3,"""日, 韓 급소 노렸다""…삼성 반도체 임원회의서 나온 장탄식",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241638
4,"외신들 ""북한 땅 밟은 트럼프, 새 역사 썼다""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241078
5,공무원 '업추비' 제로페이 결제 OK,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241334
6,"""사장님 테라 있어요?""... 100일만에 1억병 팔렸다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242280
7,"G20무역전쟁 휴전·아베 성공자평에도…日매체 ""외교력 한계""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004240993
8,[기고]BTS와 초등학교 영어교육,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243896
9,"[기자수첩] '모빌리티'산업, 개념부터 다시 세우자",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243215
10,"[MT리포트]주52시간 1년, 실적과 행복 사이…안간힘 쓰는 기업들",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241118
11,[MT리포트]'그늘' 드리운 모빌리티… 혁신의 필연인가,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004245196
12,"""남편 처벌 원치 않아요"" 이 말, 외국에선 사라졌는데...",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004245203
13,"[MT리포트]""일본 기업, 강제징용 피해자에 배상"" 판결 이후…커진 한일 갈등",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242104
14,채무 90% 탕감받고 3년 갚으면 빚 탈출할 수 있다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241986
15,서울서 열리는 지방은행지주 이사회..JB금융의 딜레마,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004245259
16,文이 꼽은 '판문점 드라마' 비결은? '상상력과 선순환',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242389
17,[MT리포트]주변 집값 그대론데 신규 집값만 통제?,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244632
18,"日의 자승자박? ""불허·지연 결정 내면 WTO 위반 증거"" ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244776
19,시위 과격화·트럼프 가세…새 국면 맞는 홍콩 시위 ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242395
20,"[기고]내일을 위한 퇴근, 기업과 노동자를 위한 주52시간제",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243888
21,"황교안 ""총선 공천, 갈등 많을 수 있어…공정성 최우선으로""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241161
22,서울시-머니투데이-초록우산이 어린이놀이터를 만들어드립니다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244668
23,[광화문]'트럼프 쇼밋(showmit)',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243877
24,"코리안리 스위스법인, S&P ‘A’ 신용등급 획득",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241413
25,"[춘추관]트럼프·김정은도 아는 文의 집념, 아베에게 보여주자",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244555
26,시위 때문에? 홍콩 주권 반환 기념식 사상 첫 '실내' 진행,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241654
27,"신한카드, 신한베트남파이낸스 출범…현지 사업 본격화",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242041
28,'대북제재 위반' 가능성에 韓수출 막았다는 아베(종합),https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244645
29,위상 확 달라진 '정책연구원'…그 배경엔 '양정철·김세연' 효과,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242380
30,[단독]국세청 서울청장에 김명준-차장 김대지 유력,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244802
31,"[MT리포트]우버도 해결 못한 과제, 기사가 '범죄자'라면",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004245201
32,[기자수첩] 검사가 증거를 숨길 때,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244658
33,구미·부산·대구·익산에 뿌리산업 특화단지…110개사 입주,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241372
34,'아베 경제보복'에 애플·소니·화웨이가 긴장한 이유,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242713
35,美中 휴전·北 우려 완화…트럼프發 안도랠리 나왔다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241626
36,민주당 정개특위 위원장 후보…최재성·김상희·홍영표·이상민 거론,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242928
37,"文 ""북미, 행동으로 적대종식 선언한것..상상력의 산물""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242070
38,비수도권 14곳 '규제프리특구'…지능형 로봇산업 육성,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243007
39,獨 최대은행 '칼바람'… 2만명 감원에 배당도 없다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244849
40,"""내가 넘어가도 될까요?""…북한 땅 밞은 트럼프 대통령",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241105
41,"'수성이냐, 역전이냐'…신한·KB, '리딩뱅크' 싸움 치열",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243227
42,"반도체공장 멈추면…""수출 최대 10~15%↓""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004245109
43,"""일본차, 불매하자"" 열받은 韓소비자, 난처한 업계",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004242399
44,"기업은행, 1조원 규모 'IBK 동반자 펀드' 조성",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241966
45,"밤샘회의 끝 최저임금 결론 못낸 노사, 9일 수정안 제출",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243478
46,"中언론, 한일 갈등은 日책임 '역사는 역사-법원은 법원'",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004244983
47,[기고]문화가 된 게임은 마약이 아니다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004241148
48,"[MT리포트]숨죽인 은행들…""차라리 고발·소송을 하지""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=008&aid=0004243106
