,title,link
0,"文 대통령 ""북미, 적대관계 사실상 종식""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579766
1,캘리포니아 7.1 강진...피해 1억弗 넘어,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582141
2,"""시장 뚫는데 20년 걸렸는데···日 거래처서 무기한 연기 통보""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582749
3,'공격수' 김진태 vs '달변가' 이철희...윤석열 청문회 맞대결,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581035
4,"푸르덴셜생명 달러보험 누적판매 5,000건 육박",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579176
5,경제 戰時인데...대책은 '평시용',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003580563
6,"[트럼프·김정은 판문점 회동]북미 정상 악수에 여야 따로 없었다···""기대"" 한목소리",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578367
7,"[S스토리人] 김상조, 취임초부터 '광폭행보'···시장소통인가 오버액션인가",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581152
8,"靑, 홍보기획비서관 정구철·디지털소통센터장 강정수 임명",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003580855
9,"최저임금위 심의 재개···사용자측 ""4.2% 깎자"" 勞에 맞불",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003580547
10,"""반도체 소재 韓 수출 규제""···日 '경제 급소' 겨냥 보복",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578359
11,"文, 30대기업 총수 만난다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581740
12,사실상 모든 관세 철폐 베트남-EU FTA 서명,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578459
13,"조국, 벌써 청문회 준비?  ...野 ""마음은 콩밭에""비판",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582130
14,"美 ""목표는 FFVD"" 못 박았지만···우려했던 '핵 동결론' 불거져",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579763
15,"[단독]최저임금, 중기 최하위 직종 시급과 689원 差",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003580558
16,"무디스, 日 수출규제에 ""한국 성장 둔화 심해질 수도”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582729
17,"""日 경제보복 맞대응은 下策···文·아베 '톱다운'으로 풀어야""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581687
18,"DB손보, 괌 토종 보험사 품었다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578695
19,강경파 빠지고 외교라인 전면에···'노딜' 교훈 삼아 '보텀업' 강화,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579162
20,韓日 갈등에···CPTPP 가입 사실상 중단,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581191
21,북 의식했나... WMD확산방지 훈련서 해상봉쇄 생략,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582874
22,"정부 ""北목선 경계 실패...은폐 의도는 없어""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003580359
23,對日 무역적자 700조···日 보복하면 주력산업 올스톱,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578347
24,[단독]OECD 33개국 실업률 내려갔는데...역주행한 韓,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579174
25,"'日보복' 해결책 모색나선 羅 ""한일의회 교류 추진""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579797
26,"[단독] 해외도피 부정축재자 40여명 집중추적···축재액 1,300억 달해",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582145
27,[이슈&워치]또 '가마우지 망령'...소재국산화 헛바퀴,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579181
28,"홍의락 ""韓 전력소비, 생수로 빨래하는 격""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581218
29,"[日, 韓에 경제보복] 한일 경제마찰 커지는데···對日 외교·통상라인은 '먹통'",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579147
30,국민銀 미얀마에 주택금융 노하우 전수,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581008
31,"""트럼프 새 역사 써""vs""사진찍기용""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578379
32,"NHK ""日, 공작기계·탄소섬유 등 추가 규제할수도""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582792
33,전기료 안올린다더니...국민 지갑 털어 한전 적자 메워,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003579145
34,[트럼프·김정은 판문점 회동]軍 원거리 경호···비상경계 태세 유지,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003578335
35,韓금융사 '바오샹 사태' 주목하는 이유는,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003580531
36,벌써부터 불거지는 '7월국회 소집론',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581066
37,"4대그룹 계열사, 日기업과 서명직전 계약 취소",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581738
38,백남준 삶의 책장에 스며든 '보이스와의 추억',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581593
39,"[이사람] 박지원 ""남북평화 위한 길이라면···대통령보다 '초대 평양대사' 선택할 것""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003581606
40,간극 큰 금융노사...夏鬪로 번지나,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=011&aid=0003582733
