,title,link
0,"文대통령 ""평화 만들어내는데 기독교계가 앞장서달라""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417858
1,"""멍청이 될 건가. 달러 끌어내려!’‥트럼프의 환율전쟁",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418847
2,'공짜 점심은 없다'…여름철 전기요금 인하 1인가구 올려 보전,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004416678
3,대박 좇는 개미 심리에 DSR규제 틈새 파고든 증권사,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004419942
4,"구인난 겪는 신산업…""차세대 반도체 등 2027년까지 16.5만명 필요""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417111
5,고민에 빠진 매파들…고승범 위원 “실물경제 걱정스럽다”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417923
6,文대통령이 강조한 '상상력'… 하반기 경제정책엔 없다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418157
7,홍남기 “日 경제보복 반드시 상응 조치”…큰소리는 쳤는데,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418982
8,"“국조하자, 정개특위 맡아라”…정상화해도 골치 아픈 與",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417246
9,상반기 산재 사고 사망자수 1년새 503명→465명 줄었다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418589
10,"정치권 ""베트남 여성 폭행한 남편 엄벌"" 한목소리",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004420573
11,中과 휴전한 트럼프‥이번엔 EU·日 겨냥,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417389
12,'나홀로 호황' 미국…주가·경기 신기록 행진,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418867
13,"""對北 3국 공조 바라는 美, 한일관계 개입할 것""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004419907
14,"5조원대 론스타 ISD 결과 나온다…금융위, 전담 대응반 가동",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004419785
15,"트럼프, 화웨이 제재 완화 약속했지만…무역길등 뇌관 여전",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004415700
16,"[단독]양자암호통신 국내기업 다투는데..ITU, 오늘 조정회의 개최",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417365
17,"아베 추가 보복카드 꺼낼까?…日서도 ""WTO 위반"" 비난 줄이어",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418158
18,[사설] 계속 날아드는 ‘선심 공약’의 청구서들,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004419006
19,中 경제엔진 멈추나..신생기업 자금 조달 '빨간불',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418455
20,"보험사, '건강관리서비스' 업무 가능해진다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417145
21,[압수수색 공포]로펌도 예외없다…방어권·비밀유지 침해 논란,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418212
22,정개특위 하고 싶지만…靑·지지자 눈치 보이는 與,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004416594
23,국내 전문가들이 내놓는 소재 산업 경쟁력 제고 방안은?,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417307
24,악재 겹친 韓경제…한은 성장률 전망 2.5% 달성 어려워,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417390
25,"靑, ‘文의 복심’ 윤건영 靑국정상황실장 “막후에서 중요한 역할”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004416419
26,소재·부품·장비 '脫일본' 앞당긴다..국산화에 매년 1조 투입,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417346
27,[사설] 경제 상황 엄혹한데도 정부 대책은 ‘속빈 강정’,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418201
28,"평화 무드 반기는 與..""남북미정상 만남은 담대한 전진""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004416156
29,"文대통령 ""4차산업혁명 선도 방안 조언해달라"" 손정의 ""AI에 집중해야""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418934
30,2년마다 열리던 한·일 전략물자 회의…文정부 들어 중단,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004419936
31,"文대통령 “트럼프, 한반도 피스메이커”…트럼프 “文 있기에 여기까지 올수 있었다 ”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004415718
32,'반도체 쇼크’ 5월 상품수지 1년새 반토막…경상수지 흑자전환(종합),https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418486
33,"북미 실무협상 국면으로 급전환…北, 준비되면 본격 가동",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004416640
34,"日, 경제보복조치 전선확대 예고…""외교협의 통해 풀어야""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418104
35,[갈길 먼 페이퍼리스]③발급수수료 2천원...종이통장의 운명은?,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418203
36,[압수수색 공포]`로펌까지도` 성역 없다…방어전략도 촘촘해져,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004418214
37,日 미워도‥文·아베 만나야 해법 나온다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004420662
38,"[줌인]주주보러 지방투어·호소문 작성… 진양곤 회장, 소통으로 정면돌파",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004417439
39,글로벌 제약사들이 쥐락펴락하는 동물약품 시장,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=018&aid=0004419977
