,title,link
0, 김상조 “일 규제 예상…롱 리스트 1~3번째 있던 것” ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459788
1," 문 대통령 “북-미, 사실상 적대관계 종식” ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459629
2, 삼성전자 2분기 영업익 6조5천억…작년치 반토막에도 ‘선방’ 평가  ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002460045
3," “최저임금 인상, 전체 고용률엔 영향 없다” ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002460160
4," 일본, 강제징용 배상 판결 한국에 ‘경제보복 조처’ ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459378
5," 강경화 “일본, 상식 반하는 조치…WTO 제소 준비 착수” ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459783
6, 상산고 “점수 잘못 계산”…전북교육청 “충분히 설명했다” ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459521
7, “또 한번 역사 썼다”…세계 외신들 일거수 일투족 생중계 ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459337
8," 정부, 성장률 목표 0.2%p 낮춰…“10조 투자·1조 감세로 경기 부양” ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459738
9, [포토]집배원도 사람이다 ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002460078
10, “신독재” “악의 탄생”…나경원의 막말 퍼레이드 ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459953
11," 올여름, 우리 집 전기요금 얼마나 나올까요 ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002460057
12," 강제징용 피해자 단체 “아베, 역사를 정치에 이용 말라” ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002460061
13, ‘가사도우미 불법고용’ 조현아·이명희 검찰 구형보다 높은 징역형의 집행유예 선고 ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459534
14, 이인영 “선거제 개혁과 비례대표 진화 위해 전력 다할 것” ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459662
15, “반도체 소재 등에 매년 1조” 정부 투자 계획 내놨지만… ,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002459746
16," 일본계 대기업, 영업이익 48% 증가-투자는 10% 감소 ",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=028&aid=0002460086
