,title,link
0,"'트럼프 무능' 메일 파문…英, 유출자 색출 나서",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004172324
1,"""日은행 한국 대출 69兆…만기연장 거부 가능성""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004171223
2,트럼프 트윗-北 최선희 5시간 만에 화답…'DMZ 회동' 급물살,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004167913
3,"""반도체 소재 국산화 외쳤지만…환경규제로 '골든타임' 놓쳤다""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004171718
4,"日 경제보복 나흘 만에 靑 ""충분히 예상"" 뒷북",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170060
5,'하노이 노딜' 김정은 체면 살리기…北 '판문점 회담' 대대적 보도,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004168603
6,"교도통신 ""일본, 對韓 수출규제 품목 확대 검토""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004169415
7,플리토·블랭크·하이퍼커넥트…'상장사 창업주'에 도전하는 30대 기업가들,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004171186
8,"정경두, 北목선 귀순 경계실패 인정…""은폐 의도는 없었다""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004169879
9,日 '경제보복 2탄'은…내달 '화이트국가' 제외,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170588
10,"손정의 ""한국 집중할 건 첫째도 둘째도 AI""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170630
11,"영세 근로자들 되레 ""최저임금 동결해야""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170687
12,[모바일한경] 지리학도가 9개월 만에 관세직 수석합격한 비결 등,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004169220
13,"최종구 ""日 금융 보복해도 영향없다""지만…해외공장 돈줄 죄면 '타격'",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004171740
14,경제 원탁토론회 막판 '기싸움',https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004172367
15,새떼를 北 항공기로 오인…전투기 출격 소동,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004168708
16,지자체 '현금살포 복지' 자체수술 나선다…복지대타협위 공식 출범,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170578
17,"국민銀, 집으로 외화 배달…공항선 우리銀 '유리'",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170590
18,아프리카 FTA 출범…나이지리아 합류,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004172496
19,"문 대통령 ""병원비로 가정 안 무너지게 임기내 보장률 70%로 높일 것""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004169215
20,'아들 스펙' 발언 등 잇단 구설에 대외행보 '구조조정' 나선 황교안,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004167933
21,"""농협·새마을금고 등 대출 연체자 금리인하""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004170576
22,"英 해군, 이란 유조선 전격 억류…중동 긴장에 불 질렀다",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004171153
23,"""자동차가 안 팔린다""…한국 車산업, 판매절벽에 '허리' 끊어질 판",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004169280
24,"이공계 CEO·석학들의 경고 ""한국 경제, 10년 이상 장기침체""",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004169935
25,"정부 ""日과 양자협의 방식 조율중""…실무 접촉서 대화 물꼬 틀지 주목",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=015&aid=0004172375
