,title,link
0,KT 회장 선출방식 반기 든 임직원들 “황창규 근시안적 경영이 아현 화재 불러”,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000402150
1,문 대통령 “한국기업 피해 땐 대응” 일본에 경고장… 협의 여지는 남겨,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403561
2,‘검찰총장 청문회’서 목청 높인 경찰,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403675
3,"트럼프, 대미 투자 ‘큰손’ 떠오른 유통기업 총수들 대거 초청",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000401312
4,"화해ㆍ치유재단 해산, 일본 경제보복 확대 방아쇠 되나",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403029
5,[한국일보 1면 사진] 日경제보복 규탄 시위(7월 5일자),https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000402831
6,세계교역 위축… 수출 7개월째 곤두박질,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000401507
7,"북한 “최덕신ㆍ류미영 아들 최인국씨, 영주 위해 평양 도착”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403266
8,"일본 간 이재용, 부친 인맥 활용해 재계 인사들과 접촉",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403657
9,"트럼프, 재선 레이스에 ‘판문점 효과’… 한반도 정세 주도권 되찾아",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000401370
10,노후 열수송관 절반 '깜깜이' 방치... 뜨거운 물 언제 터질지 모른다,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000402043
11,“북한 비핵화 기회” “트럼프 치적 쌓기 쇼”… 미국 대선 이슈로 급부상,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000401677
12,"일본, 반도체 등 ‘3대 소재’ 통관 중단… 한국업체 피해 현실화",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403020
13,美는 ‘K스릴러’ 日은 ‘82년생 김지영’… 국가별 K문학 소비 천차만별,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403066
14,일본 경제보복 성토했지만… 뾰족한 대안 못 내놓은 강경화,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000402416
15,"면접서 ""아버지 뭐하시냐"" 물으면 과태료 최대 500만원",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000401927
16,"윤석열 “수사권 조정ㆍ공수처, 국회 결정 존중”",https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403036
17,[한국일보 1면 사진] 성난 홍콩 시민들 (7월 2일자),https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000401786
18,기업이 먼저 움직였다… 일본으로 달려간 총수들,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=469&aid=0000403392
